ja,en
"ソースコードは、ソースコード、および、関連するインタフェース定義ファイル、実行形式のコンパイルやインストールの制御に使用するスクリプトを指す。

実行形式は、ソースコード以外の任意の形式のソフトウェアを指す。

サブライセンスは、当該ライセンスを付与された者が、再度、第三者にその付与されたライセンスを供与することを指す。

初期開発者は、Exhibit Aで義務付けられているソースコード告知で初期開発者として記載された個人または団体を指す。

自身は、当該ライセンスの下で、当該ライセンスの条項の全てに従って権利を行使する個人または法人を指す。

法人の場合、自身には、自身を管理する者、自身によって管理される者、もしくは、自身と共通の管理下にある者の団体を含む。この定義における「管理」は次のいずれかを指す。 (1)契約などにより、直接または間接的にこの法人の指揮・経営を行なう権限を持つ (2)この法人の50％を超える発行済み株式または受益所有権を持つ","Source code refers to the source code and related interface definition files and scripts used to control compilation and installation of executables. EXECUTIVE FORMAT refers to any form of software other than source code. Sublicense means that the person who has been granted the license in question re-grants the license granted to a third party. Initial Developer means the person or entity listed as the initial developer in the source code notice required by EXHIBIT A. Self refers to the person or entity exercising its rights under the license in accordance with all of the terms of the license. In the case of a Legal Entity, ""self"" includes any person who controls itself, is controlled by itself, or is an association of persons under common control with itself. For the purposes of this definition, ""control"" means any of the following (1) has the authority to direct and manage the corporation, directly or indirectly, by contract or otherwise, to direct and manage the corporation; (2) has more than 50% of the outstanding shares or beneficial ownership of the corporation"
"ソースコードは、ソースコード、および、関連するインタフェース定義ファイル、実行形式のコンパイルやインストールの制御に使用するスクリプトを指す。

実行形式は、ソースコード以外の任意の形式のソフトウェアを指す。

サブライセンスは、当該ライセンスを付与された者が、再度、第三者にその付与されたライセンスを供与することを指す。

初期開発者は、Exhibit Aで義務付けられているソースコード告知で初期開発者として記載された個人または団体を指す。

自身は、当該ライセンスの下で、当該ライセンスの条項の全てに従って権利を行使する個人または法人を指す。

法人の場合、自身には、自身を管理する者、自身によって管理される者、もしくは、自身と共通の管理下にある者の団体を含む。この定義における「管理」は次のいずれかを指す。 (1)契約などにより、直接または間接的にこの法人の指揮・経営を行なう権限を持つ (2)この法人の50％以上の発行済み株式または受益所有権を持つ","Source code refers to the source code and related interface definition files and scripts used to control compilation and installation of executables. EXECUTIVE FORMAT refers to any form of software other than source code. Sublicense means that the person who has been granted such a license re-grants the license granted to a third party. Initial Developer means the person or entity listed as the initial developer in the source code notice required by EXHIBIT A. Self refers to the person or entity exercising its rights under the license in accordance with all of the terms of the license. In the case of a Legal Entity, ""self"" includes any person who controls itself, is controlled by itself, or is an association of persons under common control with itself. For the purposes of this definition, ""control"" means any of the following (1) has the authority to direct and manage the corporation directly or indirectly, by contract or otherwise, to direct and manage the corporation; or (2) holds 50% or more of the outstanding shares or beneficial ownership of the corporation."
"ソースコードは、ソースコード、および、関連するインタフェース定義ファイル、実行形式のコンパイルやインストールの制御に使用するスクリプトを指す。

実行形式は、ソースコード以外の任意の形式のソフトウェアを指す。

サブライセンスは、本ライセンスを付与された者が、再度、第三者にその付与されたライセンスを供与することを指す。

初期開発者は、Exhibit Aで義務付けられているソースコード告知で初期開発者として記載された個人または団体を指す。

自身は、本ライセンスの下で、本ライセンスの条項の全てに従って権利を行使する個人または法人を指す。

法人の場合、自身には、自身を管理する者、自身によって管理される者、もしくは、自身と共通の管理下にある者の団体を含む。この定義における「管理」は次のいずれかを指す。 (1)契約などにより、直接または間接的にこの法人の指揮・経営を行なう権限を持つ (2)この法人の50％を超える発行済み株式または受益所有権を持つ","Source code refers to the source code and related interface definition files and scripts used to control compilation and installation of executables. Executable refers to any form of software other than source code. Sublicense means that a person who has been granted this license re-grants the license granted to a third party. Initial Developer means the person or entity listed as the initial developer in the source code notice required by EXHIBIT A. Self refers to the person or entity exercising its rights under this License in accordance with all of the terms of this License. In the case of a Legal Entity, itself includes any person who controls itself, is controlled by itself, or is an association of persons under common control with itself. For the purposes of this definition, ""control"" means any of the following (1) has the authority to direct and manage the corporation, directly or indirectly, by contract or otherwise, to direct and manage the corporation; (2) has more than 50% of the outstanding shares or beneficial ownership of the corporation"
"ソースコードは、ソースコード、および、関連するインタフェース定義ファイル、実行形式のコンパイルやインストールの制御に使用するスクリプトを指す。 

実行形式は、ソースコード以外の任意の形式のソフトウェアを指す。 

サブライセンスは、当該ライセンスを付与された者が、再度、第三者にその付与されたライセンスを供与することを指す。 

初期開発者は、Exhibit Aで義務付けられているソースコード告知で初期開発者として記載された個人または団体を指す。 

自身は、当該ライセンスの下で、当該ライセンスの条項の全てに従って権利を行使する個人または法人を指す。 

法人の場合、自身には、自身を管理する者、自身によって管理される者、もしくは、自身と共通の管理下にある者の団体を含む。この定義における「管理」は次のいずれかを指す。 (1)契約などにより、直接または間接的にこの法人の指揮・経営を行なう権限を持つ (2)この法人の50％を超える発行済み株式または受益所有権を持つ","Source code refers to the source code and related interface definition files and scripts used to control compilation and installation of executables. EXECUTIVE FORMAT refers to any form of software other than source code. Sublicense means that the person who has been granted such a license re-grants the license granted to a third party. Initial Developer means the person or entity listed as the initial developer in the source code notice required by EXHIBIT A. Self refers to the person or entity exercising its rights under the license in accordance with all of the terms of the license. In the case of a Legal Entity, ""self"" includes any person who controls itself, is controlled by itself, or is an association of persons under common control with itself. For the purposes of this definition, ""control"" means any of the following (1) has the authority to direct and manage the corporation, directly or indirectly, by contract or otherwise, to direct and manage the corporation; (2) has more than 50% of the outstanding shares or beneficial ownership of the corporation"
"ソースコードは、ソースコード、および、関連するインタフェース定義ファイル、実行形式のコンパイルやインストールの制御に使用するスクリプトを指す。 

実行形式は、ソースコード以外の任意の形式のソフトウェアを指す。 

サブライセンスは、本ライセンスを付与された者が、再度、第三者にその付与されたライセンスを供与することを指す。 

初期開発者は、Exhibit Aで義務付けられているソースコード告知で初期開発者として記載された個人または団体を指す。 

自身は、本ライセンスの下で、本ライセンスの条項の全てに従って権利を行使する個人または法人を指す。 

法人の場合、自身には、自身を管理する者、自身によって管理される者、もしくは、自身と共通の管理下にある者の団体を含む。この定義における「管理」は次のいずれかを指す。 (1)契約などにより、直接または間接的にこの法人の指揮・経営を行なう権限を持つ (2)この法人の50％を超える発行済み株式または受益所有権を持つ","Source code refers to the source code and related interface definition files and scripts used to control compilation and installation of executables. Executable refers to any form of software other than source code. Sublicense means that a person who has been granted this license re-grants the license granted to a third party. Initial Developer means the person or entity listed as the initial developer in the source code notice required by EXHIBIT A. Self refers to the person or entity exercising its rights under this License in accordance with all of the terms of this License. In the case of a Legal Entity, itself includes any person who controls itself, is controlled by itself, or is an association of persons under common control with itself. For the purposes of this definition, ""control"" means any of the following (1) has the authority to direct and manage the corporation, directly or indirectly, by contract or otherwise, to direct and manage the corporation; (2) has more than 50% of the outstanding shares or beneficial ownership of the corporation"
"ソースコードは、ソースコード、および、関連文書、インタフェース定義ファイル、実行形式のコンパイルやインストールの制御に使用するスクリプトを指す。 

実行形式は、ソースコード以外の任意の形式のソフトウェアを指す。 

サブライセンスは、当該ライセンスを付与された者が、再度、第三者にその付与されたライセンスを供与することを指す。 

初期開発者は、Exhibit Aで義務付けられているソースコード告知で初期開発者として記載された個人または団体を指す。 

自身は、当該ライセンスの下で、当該ライセンスの条項の全てに従って権利を行使する個人または法人を指す。 

法人の場合、自身には、自身を管理する者、自身によって管理される者、もしくは、自身と共通の管理下にある者の団体を含む。この定義における「管理」は次のいずれかを指す。 (1)契約などにより、直接または間接的にこの法人の指揮・経営を行なう権限を持つ (2)この法人の50％を超える発行済み株式または受益所有権を持つ","Source code refers to the source code and related documentation, interface definition files, and scripts used to control the compilation and installation of executables. Executable refers to any form of software other than source code. Sublicense means that the person who has been granted the license grants the license again to a third party. Initial Developer means the person or entity listed as the initial developer in the source code notice required by EXHIBIT A. Self refers to the person or entity exercising its rights under the license in accordance with all of the terms of the license. In the case of a Legal Entity, ""self"" includes any person who controls itself, is controlled by itself, or is an association of persons under common control with itself. For the purposes of this definition, ""control"" means any of the following (1) has the authority to direct and manage the corporation, directly or indirectly, by contract or otherwise, to direct and manage the corporation; (2) has more than 50% of the outstanding shares or beneficial ownership of the corporation"
"ソースコードは、ソースコード、文書、コンフィギュレーション・ファイルをさす。

本ライセンスは、著作権者の登録商標、サービス・マーク、商標名、ロゴを使う権利を許諾するものではない。","Source code refers to the source code, documentation and configuration files. This license does not grant you the right to use the copyright owner's registered trademarks, service marks, trademark names, or logos."
ソースコードは、全てのモジュールのソースコードをさす。,Source code refers to the source code of all modules.
"ソースコードは、当該ソフトウェアの修正版を作成するのに適した形式、および、その変更方法を記した文書を指す。

自身は、本ライセンスの下で、本ライセンスの条項の全てに従って権利を行使する個人または法人を指す。

法人の場合、自身には、自身を管理する者、自身によって管理される者、もしくは、自身と共通の管理下にある者の団体を含む。この定義における「管理」は次のいずれかを指す。
(1)契約などにより、直接または間接的にこの法人の指揮・経営を行なう権限を持つ
(2)この法人の50％を超える発行済み株式または受益所有権を持つ","Source Code means the documentation that describes the appropriate format for making modifications to the Software and how to modify it. Self means the person or entity exercising its rights under this License in accordance with all of the terms of this License. In the case of a legal entity, self includes any person who controls itself, is controlled by itself, or is an association of persons under common control with itself. For the purposes of this definition, ""control"" means any of the following (1) has the authority to direct and manage the corporation directly or indirectly by contract or otherwise (2) has more than 50% of the outstanding shares or beneficial ownership of the corporation."
"ソースコードは、当該ソフトウェアの修正版を作成するのに適した形式、および、その変更方法を記した文書を指す。

自身は、本ライセンスの下で、本ライセンスの条項の全てに従って権利を行使する個人または法人を指す。

法人の場合、自身には、自身を管理する者、自身によって管理される者、もしくは、自身と共通の管理下にある者の団体を含む。この定義における「管理」は次のいずれかを指す。 (1)契約などにより、直接または間接的にこの法人の指揮・経営を行なう権限を持つ (2)この法人の50％を超える発行済み株式または受益所有権を持つ","Source Code means the documentation that describes the appropriate format for making modifications to the Software and how to modify it. Self means the person or entity exercising its rights under this License in accordance with all of the terms of this License. In the case of a legal entity, self includes any person who controls itself, is controlled by itself, or is an association of persons under common control with itself. For the purposes of this definition, ""control"" means any of the following (1) has the authority to direct and manage the corporation, directly or indirectly, by contract or otherwise, to direct and manage the corporation; (2) has more than 50% of the outstanding shares or beneficial ownership of the corporation"
"ソースコードは、当該ソフトウェアの修正版を作成するのに適した形式を指す。

実行形式は、ソースコード以外の任意の形式のソフトウェアを指す。

第2のライセンスは、GNU General Public License, Version 2.0、GNU Lesser General Public License, Version 2.1、GNU Affero General Public License, Version 3.0、もしくは、これらのライセンスの以降のバージョンをさす。

自身は、当該ライセンスの下で、当該ライセンスの条項の全てに従って権利を行使する個人または法人を指す。

法人の場合、自身には、自身を管理する者、自身によって管理される者、もしくは、自身と共通の管理下にある者の団体を含む。この定義における「管理」は次のいずれかを指す。 (1)契約などにより、直接または間接的にこの法人の指揮・経営を行なう権限を持つ (2)この法人の50％を超える発行済み株式または受益所有権を持つ","Source code refers to a format suitable for making modified versions of the software. Executable is any form of software other than source code. The second license is the GNU General Public License, Version 2.0, the GNU Lesser General Public License, Version 2.1, the GNU Affero General Public License, Version 3.0, or a later version of the license. or any later version of these licenses. You are the person or entity exercising the rights under the license in accordance with all of the terms of the license. In the case of a legal entity, self includes any person who controls itself, is controlled by itself, or is an association of persons under common control with itself. For the purposes of this definition, ""control"" means any of the following (1) has the authority to direct and manage the corporation, directly or indirectly, by contract or otherwise, to direct and manage the corporation; (2) has more than 50% of the outstanding shares or beneficial ownership of the corporation"
ソースコードは、改変物を含む完全でコンパイルおよびリンク可能なsendmailのソースコードをさす。,"Source code refers to the complete, compiled and linkable source code of Sendmail, including modifications."
ソースコードは、改変物を含む完全でコンパイルおよびリンク可能なsendmailのソースコードをさす。 ,"Source code refers to the complete, compiled and linkable source code of Sendmail, including modifications."
ソースコードは、改変物を含む完全でコンパイルおよびリンク可能な、sendmailディストリビューションに含まれるsendmail、および、関連するライブラリおよびユーティリティのソースコードをさす。,"Source code refers to the complete, compilable and linkable source code of sendmail and related libraries and utilities included in the sendmail distribution, including any modifications."
ソースコードは、改変物を含む完全でコンパイルおよびリンク可能な、sendmailディストリビューションに含まれるsendmail、および、関連するライブラリおよびユーティリティのソースコードをさす。 ,"Source code refers to the complete, compilable and linkable source code of sendmail and related libraries and utilities included in the sendmail distribution, including any modifications."
ソースコードは、改変物を含む完全なsendmailのソースコードをさす。,"Source code refers to the complete Sendmail source code, including modifications."
ソースコードは、改変物を含む完全なsendmailのソースコードをさす。 ,"Source code refers to the complete Sendmail source code, including modifications."
ソースコードは合理的な条件の下で再頒布する。,Source code is redistributed under reasonable conditions.
ソースコードは画像のSVGファイルをさす。 ,Source code refers to the SVG file of the image.
ソースコードを改変した部分に対応するパッチファイルと共に頒布する,Distribute the modified parts of the source code together with the corresponding patch files.
ソースコードを販売する,Selling the Source Code
ソースコード内の各ファイルにExhibit Aの告知文をコピーする,Copy the notice of EXHIBIT A to each file in the source code.
ソースコード内の各ファイルに注記事項を含める,Include notes for each file in the source code
"ソースファイルのヘッダに「Oracle designates this particular file as subject to the ""Classpath"" exception as provided by Oracle in the License file that accompanied this code.」と記されたライブラリと、独立するモジュールとを結合またはリンクして、ライブラリを含む実行形式を生成し、その生成した実行形式を自身が選んだ条件で頒布する","The header of the source file states ""Oracle designates this particular file as subject to the ""Classpath"" exception as provided by Oracle in the License file that accompanied Combine or link the library marked ""this code."" with independent modules to generate an executable containing the library, and distribute the generated executable under conditions of your choice."
"ソースファイルのヘッダに「Sun designates this particular file as subject to the ""Classpath"" exception as provided by Sun in the License file that accompanied this code.」と記されたライブラリと、独立するモジュールとを結合またはリンクして、ライブラリを含む実行形式を生成し、その生成した実行形式を自身が選んだ条件で頒布する","The header of the source file states ""Sun designates this particular file as subject to the ""Classpath"" exception as provided by Sun in the License file that accompanied this Combine or link the library marked ""code."" with independent modules to generate an executable containing the library, and distribute the generated executable under conditions of your choice."
ターゲットコードを適格なコンパイル・プロセスで生成する,Generate target code with a qualified compilation process
テーマを改変しないまま使うのは、FlaskやFlask関連の製品のみとする。,Only Flask and Flask-related products should be used without modifying the theme.
デプロイは、当該ソフトウェアを社内での研究開発以外のために使用、サブライセンス、頒布することを指す。これは自身の会社または組織の内部における、当該ソフトウェアの研究開発での使用を除くあらゆる使用または頒布、および、第三者に対する、あらゆる形式による当該ソフトウェアの直接的もしくは間接的なサブライセンスまたは頒布を含むが、それに限定されるものではない。,"Deployment means to use, sublicense or distribute the Software for purposes other than internal research and development. This includes, but is not limited to, any use or distribution within one's own company or organization other than for use in research and development of the Software, and any direct or indirect sublicense or distribution of the Software in any form to third parties."
"デプロイは、当該ソフトウェアを社内での研究開発以外のために使用、サブライセンス、頒布することを指す。これは自身の会社または組織の内部における、当該ソフトウェアの研究開発での使用を除くあらゆる使用または頒布、および、第三者に対する、あらゆる形式による当該ソフトウェアの直接的もしくは間接的なサブライセンスまたは頒布を含むが、それに限定されるものではない。 

ソースコードは、ソフトウェアに含まれる全てのモジュールのソースコード、関連するインタフェース定義ファイルの全て、実行形式(オブジェクトコード)のコンパイルやインストールを制御するために使われるスクリプトを指す。

自身は、当該ライセンスの下で、当該ライセンスの条項の全てに従って権利を行使する個人または法人を指す。

法人の場合、自身には、自身を管理する者、自身によって管理される者、もしくは、自身と共通の管理下にある者の団体を含む。この定義における「管理」は次のいずれかを指す。 (1)契約などにより、直接または間接的にこの法人の指揮・経営を行なう権限を持つ (2)この法人の50％を超える発行済み株式または受益所有権を持つ","Deployment means to use, sublicense or distribute the Software for purposes other than internal research and development. This includes, but is not limited to, any use or distribution within one's own company or organization other than for use in research and development of the Software, and any direct or indirect sublicense or distribution of the Software in any form to third parties. Source Code means the source code of all modules contained in the Software, all associated interface definition files, and scripts used to control the compilation and installation of executables (object code). Himself means the person or entity exercising its rights under such license in accordance with all of the terms of such license. In the case of a Legal Entity, ""self"" includes any person who controls itself, is controlled by itself, or is an association of persons under common control with itself. For the purposes of this definition, ""control"" means any of the following (1) has the authority to direct and manage the corporation, directly or indirectly, by contract or otherwise, to direct and manage the corporation; (2) has more than 50% of the outstanding shares or beneficial ownership of the corporation"
データの譲渡に要するコストを上回る手数料は課さないものとする。,No fee shall be charged in excess of the cost of transferring the data.
データを提供する相手にも同じ権利を許可することになる。 ,You would allow the same rights to those to whom you provide data.
データを販売する,Selling Data
データファイルの宣伝や広告に著作権者の名前を使う,Use the copyright holder's name in data file promotions and advertisements.
データファイルを販売する,Selling data files
ドキュメントを頒布物に含める,Include documents in the distribution
バージョンメッセージやREADMEを確認する,Check the version messages and README
バージョン番号を規則に従って改変する,Modify the version number according to the rules
"バージョン番号改変の規則は以下のとおり。
●バージョン番号の初めの3コンポーネント(例: <number>.<number>.<number>)を改変しない。
●改変のレベルを示すため、バージョン番号に任意の形式の新しいコンポーネントを付加する。","The rules for version number modification are as follows: - The first three components of the version number (e.g., <number>). The first three components of the version number (e.g., <number>. <number>. <number>) in the first three components of the version number. To indicate the level of modification, add a new component of any form to the version number."
バージョン表記を変更する,Change version notation
パッケージに含まれる元々の著作権表示と関連する免責事項を含める,Include the original copyright notice and associated disclaimer in the package
"パッケージは、著作権者が頒布したファイルの集合、および、そのファイルの原文を改変して生成されたファイルの集合をさす。

標準版は、改変されていないパッケージ、もしくは、著作権者の意向により本ライセンスに従って改変されたパッケージをさす。

合理的な複製料は、メディアのコスト、複製のコストや人件費などをさす。著作権者ではなく、複製料の負担先であるコンピューティング・コミュニティに正当性を主張できるコストであればよい。

自由に利用できるとは、当該ソフトウェアに料金がかからない、また、再頒布時も同様に当該ソフトウェアに料金がかからないことをさす。","A package is a set of files distributed by the copyright holder and a set of files generated by modifying the original text of those files. The Standard Version is the unmodified package, or a package that has been modified at the copyright owner's behest in accordance with this license. Reasonable copying fees refer to the cost of the media, the cost of reproduction, and labor. Any cost that can be justified to the computing community, rather than the copyright holder, that bears the copying fee. Freely available means that there is no charge for the software, and there is no charge for redistribution."
"パッケージは、著作権者が頒布したファイルの集合、および、そのファイルの原文を改変して生成されたファイルの集合をさす。

標準版は、改変されていないパッケージ、もしくは、著作権者の意向により本ライセンスに従って改変されたパッケージをさす。

自由に利用できるとは、当該ソフトウェアに料金がかからない、また、再頒布時も同様に当該ソフトウェアに料金がかからないことをさす。
","A package is a set of files distributed by the copyright holder and a set of files generated by modifying the original text of those files. Standard Version means the unmodified package, or a package that has been modified at the pleasure of the copyright holder in accordance with this license. Freely available means that no charge is made for the software, and no charge is made for redistribution."
"パッケージは、著作権者が頒布したファイルの集合、および、そのファイルの原文を改変して生成されたファイルの集合をさす。 

標準版は、改変されていないパッケージ、もしくは、著作権者の意向により本ライセンスに従って改変されたパッケージをさす。 

合理的な複製料は、メディアのコスト、複製のコストや人件費などをさす。著作権者ではなく、複製料の負担先であるコンピューティング・コミュニティに正当性を主張できるコストであればよい。 

自由に利用できるとは、当該ソフトウェアに料金がかからない、また、再頒布時も同様に当該ソフトウェアに料金がかからないことをさす。","A package is a set of files distributed by the copyright holder and a set of files generated by modifying the original text of those files. The Standard Version is the unmodified package, or a package that has been modified at the copyright owner's behest in accordance with this license. Reasonable copying fees refer to the cost of the media, the cost of reproduction, and labor. Any cost that can be justified to the computing community, rather than the copyright holder, that bears the copying fee. Freely available means that there is no charge for the software, and there is no charge for redistribution."
"パッケージは、著作権者が頒布したファイルの集合、および、そのファイルの原文を改変して生成されたファイルの集合をさす。 

標準版は、改変されていないパッケージ、もしくは、著作権者の意向により本ライセンスに従って改変されたパッケージをさす。 

自由に利用できるとは、当該ソフトウェアに料金がかからない、また、再頒布時も同様に当該ソフトウェアに料金がかからないことをさす。","A package is a set of files distributed by the copyright holder and a set of files generated by modifying the original text of those files. Standard Version means the unmodified package, or a package that has been modified at the pleasure of the copyright holder in accordance with this license. Freely available means that no charge is made for the software, and no charge is made for redistribution."
パッチファイルなどの形式で作成する,Create a patch file or other format
ビジュアル様式が気に入って自身のプロジェクトに使いたい場合、テーマに対してどこかに大きな変更(フォント、サイズ、色やマージンなどの変更)を加えることを考慮する。,"If you like the visual style and want to use it in your own projects, consider making some major changes to the theme somewhere (changes in font, size, color or margins, etc.)."
ビルド可能なソースコードを購買者に提供する,Provide your buyers with buildable source code
ピア・ツー・ピア伝送を用いる場合、オブジェクトコードとソースコードが無償で公開されている場所を他のピアに通知しておく,"When using peer-to-peer transmission, notify other peers where the object code and source code are free and open to the public."
ピア・ツー・ピア伝送を用いる場合、ライブラリとライブラリに対応するソースコードが無償で公開されている場所を他のピアに通知しておく,"When using peer-to-peer transmission, notify other peers of the library and the location where the library's corresponding source code is available for free."
ピア・ツー・ピア伝送を用いる場合、頒布物と、当該ライブラリに対応するソースコードおよび当該ライブラリを改変して頒布物の形式にできる情報が無償で公開されている場所を、他のピアに通知しておく,"If peer-to-peer transmission is used, notify the other peers of the distribution, the corresponding source code for the library, and the location where the information that allows the library to be modified to form the distribution is available free of charge."
ファイルに含まれている商標、著作権表示、その他の注記事項をそのまま含める,"Include the trademarks, copyright notices, and other notes contained in the file in their entirety"
ファイルの全ては、「現状のまま(as-is)」で提供されており、いかなる保証もない。,"All files are provided ""as-is"" and without any warranty."
ファイルの構造上、特定のソースコードファイル内に当該告知文を入れる事が不可能な場合、ユーザが告知を見ようとするところ(関連ディレクトリなど)に当該告知文を含める。,"If the structure of the file makes it impossible to place the notice in a specific source code file, include the notice where the user would like to see it (e.g., in a related directory)."
ファイルはAdobe Font Metrics(AFM)をさす。,The file refers to Adobe Font Metrics (AFM).
ファイルは、TeXのマクロであるtexinfo.texをさす。ソースコードと同等とみなす。,"The file refers to texinfo.tex, which is a macro of TeX. Texinfo.tex, which is a macro of TeX, is considered to be equivalent to the source code."
ファイルはスクリプトをさす。ソースコードと同等とみなす。,File refers to the script. The file is considered to be equivalent to the source code.
ファイルはスクリプトをさす。ソースコードと同等とみなす。 ,File refers to the script. The file is considered to be equivalent to the source code.
ファイルやその内容の宣伝や広告に著作権者の名前やトレードマークを使う,Use the copyright holder's name or trademark in advertising and promotion of the file and its contents.
ファイルをTeXで処理し、成果物を印刷する,Process the file in TeX and print the result
フェア・ユース、権利の消尽、著作権法や適用される法律における著作権者の排他的権利による制限などから生じる権利を、本ライセンスによって削減したり制限したりすることはない。,"No rights arising from fair use, exhaustion of rights, or restrictions by copyright law or the exclusive rights of the copyright holder under applicable law will be diminished or limited by this license."
フォントおよびビットマップ画像を改変しない,Do not alter fonts and bitmap images.
フォントおよびビットマップ画像を特定する目的で商標を使用する非独占的で使用料無料のライセンスが付与される,"A non-exclusive, royalty-free license is granted to use the trademark for the purpose of identifying fonts and bitmap images."
フォントに対して本ライセンスで要求されることは、フォントソフトウェアを用いて作成した文書から抽出されたフォントソフトウェアが本ライセンスの下でのみ頒布される場合を除いて、フォントソフトウェアを用いて作成した文書には影響を与えない。,"What is required by this license for fonts does not affect documents created with the Font Software, unless the Font Software is extracted from documents created with the Font Software and distributed only under this license."
フォントの名称を変更する,Renaming a font
フォントの推奨や販売促進に名称を使う,Use the name for font endorsement and promotion.
フォントの書体を単独で販売しない,We don't sell font typefaces by themselves.
"フォントは、Arphicが頒布する元々の、TrueTypeフォントである(BIG-5文字セットの)""AR PL Mingti2L Big5""と""AR PL KaitiM Big5""、および、(GB文字セットの)""AR PL SungtiL GB""と""AR PL KaitiM GB""、もしくは、改変して作成された当該フォントの派生物をさす。ここでいう改変は、グリフの改変、グリフの並べ替え、形式の変換、フォント名の変更、グリフ表への文字の追加、グリフ表からの文字の削除を含む。","The fonts are AR PL Mingti2L Big5 and AR PL KaitiM Big5 (in the Big-5 character set) and AR PL KaitiM Big5 (in the GB character set) and AR PL SungtiL GB and AR PL KaitiM GB, which are the original TrueType fonts distributed by Arphic. Or, a derivative of a modified font. This modification includes glyph modification, glyph reordering, format conversion, font renaming, addition of characters to the glyph table, and deletion of characters from the glyph table."
フォントをサブライセンスする,Sublicense the font.
フォントを販売する,Sell fonts
フォントソフトウェアは、フォントファイル、データファイル、ソースファイル、ビルド・スクリプト、文書をさす。,"Font software refers to font files, data files, source files, build scripts, and documents."
"フォントソフトウェアは、フォントファイル、データファイル、ソースファイル、ビルド・スクリプト、文書をさす。 

保持されるフォント名は、著作権表示と共に保持されるフォント名と明示される名前をさす。 

著作者は、フォントソフトウェアに貢献したデザイナ、エンジニア、プログラマ、テクニカルライタなどをさす。","Font software refers to font files, data files, source files, build scripts, and documents. A retained font name is the name of the font that is retained and identified with a copyright notice. Authors are the designers, engineers, programmers, technical writers, etc. who have contributed to the font software."
フォントソフトウェアは、本ライセンスの下で著作権者が当該フォントソフトウェアと明示して提供するファイル一式をさす。フォントソフトウェアには、ソースファイル、ビルド・スクリプト、文書を含む。,"Font Software is the set of files that the copyright holder provides under this license that is specifically identified as the Font Software. The Font Software includes source files, build scripts, and documentation."
"フォントソフトウェアは、本ライセンスの下で著作権者が当該フォントソフトウェアと明示して提供するファイル一式をさす。フォントソフトウェアには、ソースファイル、ビルド・スクリプト、文書を含む。
","Font Software is the set of files that the copyright holder provides under this license that is specifically identified as the Font Software. The Font Software includes source files, build scripts, and documentation."
"フォントソフトウェアは、本ライセンスの下で著作権者が当該フォントソフトウェアと明示して提供するファイル一式をさす。フォントソフトウェアには、ソースファイル、ビルド・スクリプト、文書を含む。

保持されるフォント名は、著作権表示と共に保持されるフォント名と明示される名前をさす。

著作者は、フォントソフトウェアに貢献したデザイナ、エンジニア、プログラマ、テクニカルライタなどをさす。","Font Software is the set of files that the copyright holder provides under this license that is specifically identified as the Font Software. The Font Software includes source files, build scripts, and documentation. The name of the Font Software to be retained is the name identified with the copyright notice as the name of the Font Software to be retained. Authors are designers, engineers, programmers, technical writers, etc. who have contributed to the font software."
フォントソフトウェアを使用する,Using Font Software
フォントソフトウェアを改変する,Modify the font software
フォントソフトウェアを組み合わせる,Combining font software
フォントソフトウェアを組み込む,Embedding font software
フォントソフトウェアを販売する,Selling font software
フォントソフトウェアを頒布する,Distributing font software
フッタの著作権帰属の表示は、削除、変更、スタイル変更を一切しないものとする。自身のウェブサイトの位置やレイアウトに適合させるために著作権表示のフッタを調整する場合であっても、外部のソフトウェア(スクリプト、スタイルシート、フィルター)を用いて、当該ソフトウェアを局所的もしくはネットワーク越しに使うユーザや第三者の可視性や可読性に影響を与えるような著作権帰属の表示の削除、変更、スタイル変更、サイズ変更、上書き、隠匿などをしないものとする。,"The copyright attribution notice in the footer shall not be removed, altered or restyled in any way. Even if you adjust the copyright notice footer to fit the position and layout of your website, you may not use external software (scripts, style sheets, filters) to affect the visibility or readability of users or third parties who use such software locally or across the network. You shall not remove, alter, restyle, resize, overwrite, or conceal any copyright attribution that would give"
